Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
532,1,Apr 4,SEA,@,TEX,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,1.39,-0.164,1.47,-0.10%,-1.45,LF CF
533,2,Apr 5,SEA,@,TEX,"W,10-2",CG,5,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,1,.96,0.037,.98,0.02%,0.33,LF
534,3,Apr 6,SEA,@,TEX,"W,9-5",9-9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.300,.300,.600,8,2.92,0.115,3.28,0.08%,0.39,PH
535,4,Apr 8,SEA,,OAK,"L,2-3",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.286,.286,.286,.571,1,1.22,0.127,1.43,0.09%,1.01,LF
536,5,Apr 9,SEA,,OAK,"L,1-6",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.278,.278,.278,.556,1,.78,-0.030,.88,-0.02%,-0.41,LF
537,6,Apr 10,SEA,,OAK,"L,1-2",CG(10),5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.261,.261,.304,.565,1,1.21,-0.170,1.31,-0.11%,-1.16,LF
538,7,Apr 11,SEA,,TEX,"L,3-7",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.259,.259,.296,.556,1,1.85,-0.192,1.79,-0.11%,-1.50,LF
539,8,Apr 12,SEA,,TEX,"L,0-8",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.258,.258,.290,.548,1,.45,0.009,.43,0.01%,0.05,LF
540,9,Apr 13,SEA,,TEX,"W,4-2",CG(10),5,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.278,.278,.333,.611,1,1.32,0.055,1.18,0.03%,0.98,LF
541,10,Apr 15,SEA,@,NYY,"W,7-1",CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.268,.300,.568,1,.57,-0.063,.48,-0.03%,-0.53,LF
542,11,Apr 16,SEA,@,NYY,"W,3-2",CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.244,.261,.289,.550,1,1.03,-0.088,.93,-0.05%,-0.81,LF
