Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
2144,1,Apr 2,SFG,,SDP,"W,3-2",CG,5,3,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.333,.600,1.333,1.933,3,.90,0.109,.96,0.07%,1.11,LF
2145,2,Apr 4,SFG,,SDP,"W,8-7",CG,5,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.286,.500,.857,1.357,3,1.26,0.112,1.37,0.07%,0.23,LF
2146,3,Apr 5,SFG,,SDP,"W,8-2",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.429,.636,1.065,3,.48,0.004,.54,0.00%,-0.16,LF
2147,4,Apr 6,SFG,@,LAD,"L,1-10",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.333,.467,.800,3,.38,-0.037,.45,-0.03%,-0.70,LF
2148,5,Apr 7,SFG,@,LAD,"L,4-10",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.158,.273,.368,.641,3,.53,-0.017,.62,-0.01%,-0.27,LF
2149,6,Apr 8,SFG,@,LAD,"W,8-3",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.125,.222,.292,.514,3,.43,-0.077,.49,-0.05%,-1.28,LF
2150,7,Apr 10,SFG,@,SDP,"W,11-6",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.103,.188,.241,.429,3,.46,-0.075,.55,-0.05%,-1.56,LF
2151,9 (1),Apr 12,SFG,@,SDP,"L,3-8",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.125,.222,.344,.566,3,.65,0.095,.84,0.07%,0.97,LF
2152,10,Apr 13,SFG,@,MIL,"W,7-3",CG,5,3,1,2,1,0,1,3,1,0,0,0,0,1,0,0,0,0,.171,.268,.486,.754,3,1.07,0.121,1.18,0.08%,1.40,LF
2153,11,Apr 14,SFG,@,MIL,"L,6-11",CG,5,4,1,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,.205,.304,.590,.894,3,1.28,0.135,1.50,0.09%,3.02,LF
2154,12,Apr 15,SFG,@,MIL,"L,4-7",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.214,.320,.643,.963,3,.54,0.102,.61,0.07%,1.17,LF
2155,13,Apr 17,SFG,,LAD,"W,3-2",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.217,.315,.674,.989,3,1.63,0.183,2.01,0.14%,0.09,LF
2156,14,Apr 18,SFG,,LAD,"W,5-4",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.220,.310,.700,1.010,3,1.05,0.149,1.32,0.11%,0.25,LF
2157,15,Apr 19,SFG,,LAD,"L,1-10",GS-7,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.311,.679,.991,3,.35,-0.004,.46,0.00%,-0.21,LF
2158,16,Apr 20,SFG,,MIL,"W,3-1",CG,4,3,1,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,.232,.323,.714,1.037,3,.71,0.224,.81,0.15%,1.68,LF
2159,17,Apr 21,SFG,,MIL,"L,3-6",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.318,.702,1.020,8,2.66,-0.058,3.05,-0.04%,-0.47,PH
2160,18,Apr 22,SFG,,MIL,"W,6-4",CG,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.220,.329,.678,1.007,3,1.32,0.057,1.49,0.04%,0.50,LF
