Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1359,1,Mar 28,NYY,,BAL,"W,7-2",CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.200,.000,.200,1,.36,-0.022,.39,-0.01%,-0.66,4.00,6.20,CF
1360,2,Mar 30,NYY,,BAL,"L,3-5",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.100,.000,.100,1,1.38,-0.179,1.55,-0.12%,-1.68,0.00,0.00,CF
1361,3,Mar 31,NYY,,BAL,"L,5-7",GS-9,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.077,.200,.077,.277,1,1.73,0.120,1.81,0.08%,0.94,7.00,9.50,CF
1362,4,Apr 1,NYY,,DET,"W,3-1",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.176,.263,.353,.616,1,.73,0.116,.67,0.06%,1.06,22.00,27.70,CF
1363,5,Apr 2,NYY,,DET,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.217,.286,.503,1,1.04,-0.115,.95,-0.06%,-1.05,0.00,0.00,CF
1364,6,Apr 3,NYY,,DET,"L,1-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,1,.143,.217,.286,.503,3,2.46,-0.071,2.20,-0.04%,-0.25,0.00,0.00,PR DH
1365,7,Apr 4,NYY,@,BAL,"W,8-4",CG,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.286,.320,.606,1,.98,0.015,.95,0.01%,0.51,10.00,12.20,CF
1366,8,Apr 6,NYY,@,BAL,"W,6-4",CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.273,.333,.606,1,.73,-0.033,.75,-0.02%,-0.59,7.00,9.20,CF
1367,9,Apr 7,NYY,@,BAL,"W,15-3",CG,6,3,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,.212,.333,.364,.697,1,.35,0.022,.39,0.02%,1.31,15.00,21.40,CF
1368,10,Apr 8,NYY,@,HOU,"L,3-4",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.211,.318,.342,.660,1,1.36,-0.040,1.36,-0.02%,-0.08,8.00,9.00,CF
1369,11,Apr 9,NYY,@,HOU,"L,3-6",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.195,.313,.317,.630,1,1.54,-0.129,1.49,-0.08%,-1.33,4.00,6.20,CF
1370,12,Apr 10,NYY,@,HOU,"L,6-8",CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.196,.302,.370,.671,1,1.01,-0.022,.94,-0.01%,-0.26,14.00,18.70,CF
