Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1213,1,Mar 30,NYY,@,TBD,"L,3-8",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,.69,-0.092,.75,-0.06%,-1.26,SS
1214,2,Mar 31,NYY,@,TBD,"W,12-1",CG,5,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.125,.300,.125,.425,1,.63,-0.002,.66,0.00%,0.59,SS
1215,3,Apr 6,NYY,@,TBD,"L,4-9",CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.091,.333,.091,.424,2,.74,-0.036,.83,-0.03%,-0.31,SS
1216,4,Apr 7,NYY,@,TBD,"W,3-2",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.368,.267,.635,2,1.15,0.126,1.24,0.08%,0.86,SS
1217,5,Apr 8,NYY,,CHW,"W,3-1",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.348,.263,.611,1,.66,-0.053,.68,-0.03%,-0.70,SS
1218,6,Apr 9,NYY,,CHW,"L,3-9",CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.321,.250,.571,2,.78,-0.063,.84,-0.04%,-1.17,SS
1219,7,Apr 10,NYY,,CHW,"L,3-7",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.313,.250,.563,1,.86,-0.064,.85,-0.04%,-0.64,SS
1220,8,Apr 11,NYY,,CHW,"W,5-4",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,.250,.333,.313,.646,1,.85,0.133,.83,0.08%,1.46,SS
1221,9,Apr 14,NYY,,TBD,"W,5-1",CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.325,.333,.658,1,.47,0.011,.53,0.01%,0.00,SS
1222,10,Apr 16,NYY,@,BOS,"L,2-6",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.311,.317,.628,2,.67,-0.028,.81,-0.02%,-0.70,SS
1223,11,Apr 17,NYY,@,BOS,"L,2-5",CG,5,5,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.239,.300,.304,.604,1,.80,-0.096,.91,-0.07%,-0.06,SS
1224,12,Apr 18,NYY,@,BOS,"W,7-3",CG,6,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,.260,.339,.320,.659,1,.65,0.106,.73,0.07%,1.53,SS
1225,13,Apr 19,NYY,@,BOS,"L,4-5",CG,5,4,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,.241,.328,.296,.624,1,1.16,-0.051,1.33,-0.04%,0.34,SS
1226,14,Apr 20,NYY,@,CHW,"W,11-8",CG,6,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.237,.318,.288,.606,1,.60,-0.044,.61,-0.03%,-1.70,SS
1227,15,Apr 21,NYY,@,CHW,"W,3-1",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.300,.270,.570,2,.99,-0.101,1.04,-0.06%,-1.02,SS
1228,16,Apr 22,NYY,@,CHW,"L,3-4",CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.209,.284,.254,.538,1,1.83,-0.219,2.01,-0.14%,-1.66,SS
1229,17,Apr 23,NYY,,BOS,"L,2-11",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.197,.269,.239,.509,2,.34,-0.036,.41,-0.03%,-0.73,SS
1230,18,Apr 24,NYY,,BOS,"L,2-3",CG(12),6,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.184,.262,.224,.486,1,1.57,-0.224,1.80,-0.15%,-1.11,SS
1231,19,Apr 25,NYY,,BOS,"L,0-2",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.175,.250,.213,.463,1,1.34,-0.152,1.42,-0.10%,-1.19,SS
1232,20,Apr 27,NYY,,OAK,"W,10-8",CG,5,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,.169,.250,.205,.455,1,.98,-0.092,.84,-0.05%,-0.80,SS
1233,21,Apr 28,NYY,,OAK,"W,5-1",CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.161,.247,.195,.443,1,.40,-0.013,.36,-0.01%,-0.57,SS
1234,22,Apr 29,NYY,,OAK,"W,7-5",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.165,.248,.231,.478,1,.79,0.031,.73,0.02%,0.38,SS
1235,23,Apr 30,NYY,,KCR,"W,5-2",CG,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.168,.255,.232,.486,1,1.08,-0.048,1.05,-0.03%,-0.78,SS
1236,24,May 1,NYY,,KCR,"W,12-4",CG,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.188,.268,.248,.515,1,.62,0.092,.65,0.06%,0.61,SS
1237,25,May 2,NYY,,KCR,"W,4-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.181,.259,.238,.497,1,1.12,-0.170,1.26,-0.12%,-1.71,SS
1238,26,May 4,NYY,@,OAK,"W,10-8",CG,6,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.180,.254,.243,.497,1,1.00,-0.089,1.21,-0.06%,-1.42,SS
1239,28 (1),May 6,NYY,@,OAK,"L,4-7",CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.181,.252,.241,.493,2,.65,-0.029,.81,-0.02%,-0.17,SS
1240,29,May 7,NYY,@,SEA,"L,2-6",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.183,.252,.242,.494,2,.85,-0.042,1.03,-0.03%,0.01,SS
